rating 0 = Not Ableist
rating 100 = Very Ableist

'Abiliphile', rating: 80
'Abiliphobe', rating: 80
'Abiliscope', rating: 60
'Abilisnub', rating: 40
'Abilistation', rating: 60
'Abilistix', rating: 60
'Abilistron', rating: 80
'Abilityism', rating: 80
'Abilosophic', rating: 60
'Abiluxe', rating: 30
'Ableflux', rating: 60
'Ableismaster', rating: 80
'Ableismatron', rating: 80
'Ableismometer', rating: 80
'Ableismotron', rating: 80
'Ableismy', rating: 80
'Ableizm', rating: 80
'Ablemind', rating: 60
'Ablemindedness', rating: 80
'Ablenormative', rating: 60
'Ableospheric', rating: 70
'Ablephobe', rating: 80
'Ablephobia', rating: 80
'Ablespeak', rating: 80
'Ablestic', rating: 80
'Abletastic', rating: 80
'Abletude', rating: 80
'Ablevortex', rating: 40
'Ablewhiff', rating: 80
'Ablexia', rating: 90
'Ablexion', rating: 80
'Ablismarx', rating: 40
'Ablismaster', rating: 60
'Ablismatron', rating: 60
'Ablismor', rating: 60
'Ablismorph', rating: 40
'Ablismort', rating: 30
'Ablismotron', rating: 80
'Ablismyth', rating: 25
'Ablistic', rating: 60
'Accessiblonk', rating: 95
'Accessimorph', rating: 80
'Aerotist', rating: 60
'Aerotropism', rating: 50
'Audiocalist', rating: 60
'Audiocentric', rating: 80
'Audiomorph', rating: 60
'Audioskein', rating: 35
'Audioskept', rating: 40
'Audioskeptical', rating: 30
'Audist', rating: 80
'Aurorachrome', rating: 40
'Aurorachron', rating: 40
'Aurorapathy', rating: 40
'Auroraphobe', rating: 60
'Auroraphobia', rating: 60
'Aurorism', rating: 80
'Axiological', rating: 80
'Blerg', rating: 25
'Blergification', rating: 5
'Blergify', rating: 5
'Blergism', rating: 40
'Blergity', rating: 10
'Blergon', rating: 25
'Blergonomy', rating: 18
'Blorple', rating: 0
'Cacophonix', rating: 40
'Cerebrocent', rating: 50
'Cerebrocentric', rating: 90
'Cerebrocentrism', rating: 90
'Cerebrocline', rating: 80
'Cerebrophob', rating: 60
'Cerebrophobe', rating: 80
'Cerebrophobia', rating: 80
'Cerebrophobic', rating: 80
'Cerebrox', rating: 50
'Cerebroxia', rating: 10
'Cerebroxism', rating: 40
'Cerebroxist', rating: 80
'Chromability', rating: 60
'Chromablind', rating: 60
'Chromabully', rating: 80
'Chromaburst', rating: 30
'Chromacystic', rating: 60
'Chromadis', rating: 30
'Chromadrift', rating: 30
'Chromadrone', rating: 30
'Chromaflux', rating: 10
'Chromalax', rating: 40
'Chromalicious', rating: 30
'Chromalix', rating: 30
'Chromalixir', rating: 60
'Chromalox', rating: 40
'Chromalunaire', rating: 30
'Chromalune', rating: 15
'Chromalux', rating: 5
'Chromaluxe', rating: 60
'Chromawhirl', rating: 50
'Chromodrakon', rating: 30
'Chromorph', rating: 40
'Chrono', rating: 60
